0.53,0.53,0.53
3.42,3.42,3.42
0.32,0.32,0.32
3.49,3.49,3.49
1.95,1.95,1.95
0.39,0.39,0.39
0.48,0.48,0.48
2.32,2.32,2.32
1.95,1.95,1.95
2,2,2
0.13,0.13,0.13
1.97,1.97,1.97
1.78,1.78,1.78
0.94,0.94,0.94
2.59,2.59,2.59
3.79,3.79,3.79
0.22,0.22,0.22
1.21,1.21,1.21
2.83,2.83,2.83
4.79,4.79,4.79
2.15,2.15,2.15
1.42,1.42,1.42
2.6,2.6,2.6
1.67,1.67,1.67
2.87,2.87,2.87
4.9,4.9,4.9
3.96,3.96,3.96
0.87,0.87,0.87
1.12,1.12,1.12
2.6,2.6,2.6
3.67,3.67,3.67
2.75,2.75,2.75
4.84,4.84,4.84
0.34,0.34,0.34
3.24,3.24,3.24
1.49,1.49,1.49
4.82,4.82,4.82
0.68,0.68,0.68
2.06,2.06,2.06
3.35,3.35,3.35
4.54,4.54,4.54
3.49,3.49,3.49
1.85,1.85,1.85
4.88,4.88,4.88
4.31,4.31,4.31
1.14,1.14,1.14
2.32,2.32,2.32
1.53,1.53,1.53
1.9,1.9,1.9
3.92,3.92,3.92
3.03,3.03,3.03
2.81,2.81,2.81
3.84,3.84,3.84
4.93,4.93,4.93
1.33,1.33,1.33
2.35,2.35,2.35
1.08,1.08,1.08
1.74,1.74,1.74
1.86,1.86,1.86
1.83,1.83,1.83
2.91,2.91,2.91
1.11,1.11,1.11
4.34,4.34,4.34
1.58,1.58,1.58
2.96,2.96,2.96
0.03,0.03,0.03
3.96,3.96,3.96
4.6,4.6,4.6
1.48,1.48,1.48
0.37,0.37,0.37
3.76,3.76,3.76
0.32,0.32,0.32
2.91,2.91,2.91
1.59,1.59,1.59
0.67,0.67,0.67
4.29,4.29,4.29
1.16,1.16,1.16
3.69,3.69,3.69
4.1,4.1,4.1
0.72,0.72,0.72
2.61,2.61,2.61
0.46,0.46,0.46
4.38,4.38,4.38
3.68,3.68,3.68
0.7,0.7,0.7
1.11,1.11,1.11
4.82,4.82,4.82
3.39,3.39,3.39
1.83,1.83,1.83
0.81,0.81,0.81
0.67,0.67,0.67
1.58,1.58,1.58
0.28,0.28,0.28
2.39,2.39,2.39
4.95,4.95,4.95
1.13,1.13,1.13
2.3,2.3,2.3
4.21,4.21,4.21
0.35,0.35,0.35
4.83,4.83,4.83
0.82,0.82,0.82
4.63,4.63,4.63
2.54,2.54,2.54
2.45,2.45,2.45
0.21,0.21,0.21
0.85,0.85,0.85
4.59,4.59,4.59
2.79,2.79,2.79
4.37,4.37,4.37
3.12,3.12,3.12
3.63,3.63,3.63
3.14,3.14,3.14
3.52,3.52,3.52
3.15,3.15,3.15
0.6,0.6,0.6
2.07,2.07,2.07
4.49,4.49,4.49
4.2,4.2,4.2
1.59,1.59,1.59
3.51,3.51,3.51
3.08,3.08,3.08
1.67,1.67,1.67
2.82,2.82,2.82
2.52,2.52,2.52
1.06,1.06,1.06
1.95,1.95,1.95
4.37,4.37,4.37
1.2,1.2,1.2
1.17,1.17,1.17
0.33,0.33,0.33
1.83,1.83,1.83
2.47,2.47,2.47
1.37,1.37,1.37
0.72,0.72,0.72
2.05,2.05,2.05
2.07,2.07,2.07
3.33,3.33,3.33
3.59,3.59,3.59
0.62,0.62,0.62
0.26,0.26,0.26
0.77,0.77,0.77
3.68,3.68,3.68
4.98,4.98,4.98
0.86,0.86,0.86
1.79,1.79,1.79
3.46,3.46,3.46
0.24,0.24,0.24
4.56,4.56,4.56
0.82,0.82,0.82
0.5,0.5,0.5
0.01,0.01,0.01
2.26,2.26,2.26
3.99,3.99,3.99
2.97,2.97,2.97
0.15,0.15,0.15
1.61,1.61,1.61
3.59,3.59,3.59
3.06,3.06,3.06
3.35,3.35,3.35
3.17,3.17,3.17
2.28,2.28,2.28
3.02,3.02,3.02
0.42,0.42,0.42
3.79,3.79,3.79
2.42,2.42,2.42
4.55,4.55,4.55
4.8,4.8,4.8
1.45,1.45,1.45
2.04,2.04,2.04
4.51,4.51,4.51
1.35,1.35,1.35
1.49,1.49,1.49
4.63,4.63,4.63
2.35,2.35,2.35
3.5,3.5,3.5
1.87,1.87,1.87
0.83,0.83,0.83
1.06,1.06,1.06
3.9,3.9,3.9
0.46,0.46,0.46
2.18,2.18,2.18
2.15,2.15,2.15
0.38,0.38,0.38
2.72,2.72,2.72
1.15,1.15,1.15
4.56,4.56,4.56
4.92,4.92,4.92
2.85,2.85,2.85
1.41,1.41,1.41
1.26,1.26,1.26
2.44,2.44,2.44
0.61,0.61,0.61
1.22,1.22,1.22
1.38,1.38,1.38
4.93,4.93,4.93
0.23,0.23,0.23
4.92,4.92,4.92
4.18,4.18,4.18
1.88,1.88,1.88
4.98,4.98,4.98
2.65,2.65,2.65
3.14,3.14,3.14
3.04,3.04,3.04
0.34,0.34,0.34
1.39,1.39,1.39
4.39,4.39,4.39
3.81,3.81,3.81
1.78,1.78,1.78
3.94,3.94,3.94
2.2,2.2,2.2
3.42,3.42,3.42
3.77,3.77,3.77
4.42,4.42,4.42
2.68,2.68,2.68
4.69,4.69,4.69
2.03,2.03,2.03
2.18,2.18,2.18
1.93,1.93,1.93
0.39,0.39,0.39
0.42,0.42,0.42
4.77,4.77,4.77
3.11,3.11,3.11
1.87,1.87,1.87
3.78,3.78,3.78
4.02,4.02,4.02
3.28,3.28,3.28
4.1,4.1,4.1
1.38,1.38,1.38
0.18,0.18,0.18
2.01,2.01,2.01
2.74,2.74,2.74
0.46,0.46,0.46
4.14,4.14,4.14
4.85,4.85,4.85
1.42,1.42,1.42
0.85,0.85,0.85
1.87,1.87,1.87
2.53,2.53,2.53
1.48,1.48,1.48
0.34,0.34,0.34
1.06,1.06,1.06
1.05,1.05,1.05
4.93,4.93,4.93
3.79,3.79,3.79
1.16,1.16,1.16
2.23,2.23,2.23
1.38,1.38,1.38
1.3,1.3,1.3
2.02,2.02,2.02
4.72,4.72,4.72
2.54,2.54,2.54
2.75,2.75,2.75
0.85,0.85,0.85
0.38,0.38,0.38
2.83,2.83,2.83
4.75,4.75,4.75
0.26,0.26,0.26
3.63,3.63,3.63
0.53,0.53,0.53
0.89,0.89,0.89
4.07,4.07,4.07
2.65,2.65,2.65
0.09,0.09,0.09
4.96,4.96,4.96
0.16,0.16,0.16
0.98,0.98,0.98
1.82,1.82,1.82
2.17,2.17,2.17
3.03,3.03,3.03
2.05,2.05,2.05
2.95,2.95,2.95
2.06,2.06,2.06
4.22,4.22,4.22
3.6,3.6,3.6
0.92,0.92,0.92
1.36,1.36,1.36
3.69,3.69,3.69
2.4,2.4,2.4
3.72,3.72,3.72
2.5,2.5,2.5
1.52,1.52,1.52
3.4,3.4,3.4
2.42,2.42,2.42
0.37,0.37,0.37
1.62,1.62,1.62
3.14,3.14,3.14
1.51,1.51,1.51
1.39,1.39,1.39
2.44,2.44,2.44
0.91,0.91,0.91
1.99,1.99,1.99
3.06,3.06,3.06
1.63,1.63,1.63
2.27,2.27,2.27
0.41,0.41,0.41
4.4,4.4,4.4
3.81,3.81,3.81
2.1,2.1,2.1
0.03,0.03,0.03
0.26,0.26,0.26
4.44,4.44,4.44
1.81,1.81,1.81
2.57,2.57,2.57
2.9,2.9,2.9
4.5,4.5,4.5
0.02,0.02,0.02
1.77,1.77,1.77
0.88,0.88,0.88
1.84,1.84,1.84
3.07,3.07,3.07
0.5,0.5,0.5
0.5,0.5,0.5
1.03,1.03,1.03
0.25,0.25,0.25
1.27,1.27,1.27
1.62,1.62,1.62
0.78,0.78,0.78
3.07,3.07,3.07
1.67,1.67,1.67
0.69,0.69,0.69
2.03,2.03,2.03
4.47,4.47,4.47
2.45,2.45,2.45
2.62,2.62,2.62
4.97,4.97,4.97
0.31,0.31,0.31
4.35,4.35,4.35
2.95,2.95,2.95
0.21,0.21,0.21
4.43,4.43,4.43
4.77,4.77,4.77
1.87,1.87,1.87
0.43,0.43,0.43
1.13,1.13,1.13
3.75,3.75,3.75
2.87,2.87,2.87
1.79,1.79,1.79
2.99,2.99,2.99
1.98,1.98,1.98
2.71,2.71,2.71
3.78,3.78,3.78
2.03,2.03,2.03
